==6777== NVPROF is profiling process 6777, command: python3 main.py --epochs 1
==6777== Profiling application: python3 main.py --epochs 1
==6777== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,
2.745650,0.024608,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","21","sgemm_sm35_ldg_nn_64x16x64x16x16 [1096]"
2.745662,0.025088,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","15","sgemm_sm35_ldg_nn_64x16x64x16x16 [1130]"
2.745674,0.025697,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","16","sgemm_sm35_ldg_nn_64x16x64x16x16 [1147]"
2.745685,0.026529,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","17","sgemm_sm35_ldg_nn_64x16x64x16x16 [1164]"
2.745698,0.025536,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","18","sgemm_sm35_ldg_nn_64x16x64x16x16 [1181]"
2.745710,0.027712,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","19","sgemm_sm35_ldg_nn_64x16x64x16x16 [1198]"
2.745723,0.023552,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","20","sgemm_sm35_ldg_nn_64x16x64x16x16 [1215]"
2.745733,0.027072,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","22","sgemm_sm35_ldg_nn_64x16x64x16x16 [1249]"
2.745746,0.026369,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","21","sgemm_sm35_ldg_nn_64x16x64x16x16 [1232]"
2.745759,0.028897,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","15","sgemm_sm35_ldg_nn_64x16x64x16x16 [1266]"
2.745771,0.024448,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","16","sgemm_sm35_ldg_nn_64x16x64x16x16 [1283]"
2.745784,0.025536,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","17","sgemm_sm35_ldg_nn_64x16x64x16x16 [1300]"
2.745795,0.026496,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","18","sgemm_sm35_ldg_nn_64x16x64x16x16 [1317]"
2.745808,0.027777,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","19","sgemm_sm35_ldg_nn_64x16x64x16x16 [1334]"
2.745820,0.025537,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","20","sgemm_sm35_ldg_nn_64x16x64x16x16 [1351]"
2.745834,0.023745,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","21","sgemm_sm35_ldg_nn_64x16x64x16x16 [1368]"
2.745844,0.026144,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","22","sgemm_sm35_ldg_nn_64x16x64x16x16 [1385]"
2.745857,0.028736,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","15","sgemm_sm35_ldg_nn_64x16x64x16x16 [1402]"
2.745869,0.023936,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","16","sgemm_sm35_ldg_nn_64x16x64x16x16 [1419]"
2.745882,0.024193,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","17","sgemm_sm35_ldg_nn_64x16x64x16x16 [1436]"
2.745893,0.024801,36,1,1,16,16,1,71,8.269531,0.000000,,,,,"Tesla K20c (0)","1","18","sgemm_sm35_ldg_nn_64x16x64x16x16 [1453]"
2.745927,0.382693,16,64,1,256,1,1,67,16.250000,0.000000,,,,,"Tesla K20c (0)","1","7","void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, float>(cudnn::winograd_nonfused::WinogradOutputParams<float, float>) [1473]"
2.746313,0.257796,9216,1,1,64,1,1,17,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern27unrolled_elementwise_kernelIZZZNS0_15add_kernel_cudaERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE2_clEvEUlffE_NS_6detail5ArrayIPcLi3EEE16OffsetCalculatorILi2EjESE_ILi1EjEEEviT_T0_T1_T2_ [1488]"
2.746585,0.124546,9216,1,1,64,1,1,18,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","_ZN2at6native6modern29vectorized_elementwise_kernelILi4EZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S6_EUlffE_NS_6detail5ArrayIPcLi3EEEEEviT0_T1_ [1505]"
2.746722,0.143203,2304,1,1,256,1,1,27,0.000000,0.000000,,,,,"Tesla K20c (0)","1","7","void at::native::_GLOBAL__N__51_tmpxft_00004b77_00000000_6_DilatedMaxPool2d_cpp1_ii_db999de0::max_pool_forward_nchw<float, float>(int, float const *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, at::native::_GLOBAL__N__51_tmpxft_00004b77_00000000_6_DilatedMaxPool2d_cpp1_ii_db999de0::max_pool_forward_nchw<float, float>*, long*) [1550]"
